ticker,close,volume,change_%,value_traded,hhi_score,foreign_ratio,rvol_ratio,pct_rvol,pct_hhi_mom,pct_flow,leading_score,pct_change,quant_score,prev_quant_score,score_diff
PEKGY,15.22,122273280,2.2162525184687714,1860999321.6000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,70.39999999999999,54.24,44.32,9.920000000000002
MEYSU,12.14,16380518,2.1026072329688814,198859488.52,0.0,0.0,1.0,50.2,50.2,50.2,50.2,70.0,54.160000000000004,51.92,2.240000000000002
TUREX,6.92,26648200,2.064896755162237,184405544.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,69.6,54.08,43.760000000000005,10.319999999999993
INDES,11.66,9655674,2.012248468941386,112585158.84,0.0,0.0,1.0,50.2,50.2,50.2,50.2,69.19999999999999,54.0,54.0,0.0
SAHOL,94.25,47784378,2.002164502164496,4503677626.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,68.8,53.92,55.28,-1.3599999999999994
TRGYO,97.35,1688992,1.937172774869104,164423371.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,68.4,53.84,56.080000000000005,-2.240000000000002
TERA,179.3,17083980,1.9329164297896564,3063157614.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,68.0,53.760000000000005,43.52,10.240000000000002
TRENJ,109.8,3458754,1.855287569573284,379771189.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,67.60000000000001,53.68000000000001,57.68,-3.999999999999993
IEYHO,189.9,569632,1.8230563002680995,108173116.8,0.0,0.0,1.0,50.2,50.2,50.2,50.2,67.2,53.6,45.760000000000005,7.839999999999996
LILAK,30.32,5617807,1.8132975151108097,170331908.24,0.0,0.0,1.0,50.2,50.2,50.2,50.2,66.8,53.52,54.64,-1.1199999999999974
SKBNK,6.26,160806701,1.7886178861788524,1006649948.26,0.0,0.0,1.0,50.2,50.2,50.2,50.2,66.4,53.440000000000005,48.28,5.160000000000004
HEKTS,2.9,325495190,1.7543859649122744,943936051.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,66.0,53.36,51.760000000000005,1.5999999999999943
ISCTR,12.6,738370624,1.6949152542372805,9303469862.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,65.60000000000001,53.28,48.72,4.560000000000002
KAYSE,4.22,25564736,1.6867469879517927,107883185.91999999,0.0,0.0,1.0,50.2,50.2,50.2,50.2,65.2,53.2,59.04,-5.839999999999996
GESAN,87.5,15018926,1.685066821615343,1314156025.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,64.8,53.120000000000005,45.68000000000001,7.439999999999998
CANTE,1.23,151173261,1.6528925619834725,185943111.03,0.0,0.0,1.0,50.2,50.2,50.2,50.2,64.4,53.040000000000006,48.28,4.760000000000005
BLUME,43.3,2982921,1.6431924882629008,129160479.3,0.0,0.0,1.0,50.2,50.2,50.2,50.2,64.0,52.96,57.04,-4.079999999999998
GARAN,132.0,43285887,1.6166281755196261,5713737084.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,63.6,52.88,49.84,3.039999999999999
TCKRC,171.0,2689658,1.6042780748663035,459931518.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,63.2,52.800000000000004,45.84,6.960000000000001
KRDMA,54.35,7625571,1.5887850467289748,414449783.85,0.0,0.0,1.0,50.2,50.2,50.2,50.2,62.8,52.72,58.8,-6.079999999999998
TUKAS,2.04,63931953,1.4925373134328483,130421184.12,0.0,0.0,1.0,50.2,50.2,50.2,50.2,62.4,52.64,46.400000000000006,6.239999999999995
ASTOR,340.75,30586953,1.4892032762472078,10422504234.75,0.0,0.0,1.0,50.2,50.2,50.2,50.2,62.0,52.56,55.52,-2.960000000000001
KOCMT,4.88,49740769,1.4553014553014614,242734952.72,0.0,0.0,1.0,50.2,50.2,50.2,50.2,61.6,52.480000000000004,41.44,11.040000000000006
ANELE,147.0,1509731,1.3793103448275863,221930457.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,61.199999999999996,52.400000000000006,53.28,-0.8799999999999955
OYAKC,22.38,24665680,1.3586956521739162,552017918.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,60.8,52.32,47.28,5.039999999999999
ALFAS,42.78,3105607,1.2784090909090888,132857867.46000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,60.4,52.24,43.2,9.04
AVHOL,36.46,6471035,1.2777777777777801,235933936.1,0.0,0.0,1.0,50.2,50.2,50.2,50.2,60.0,52.160000000000004,49.68,2.480000000000004
TSKB,11.15,15020523,1.2715712988192605,167478831.45000002,0.0,0.0,1.0,50.2,50.2,50.2,50.2,59.599999999999994,52.08,51.040000000000006,1.039999999999992
ARMGD,195.7,1104825,1.241593378168638,216214252.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,59.199999999999996,52.0,42.32,9.68
BESTE,33.6,7618145,1.2048192771084292,255969672.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,58.8,51.92,41.760000000000005,10.159999999999997
KARSN,9.39,16018354,1.18534482758622,150412344.06,0.0,0.0,1.0,50.2,50.2,50.2,50.2,58.4,51.84,44.8,7.040000000000006
HALKB,34.6,36769972,1.1695906432748495,1272241031.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,57.99999999999999,51.760000000000005,50.080000000000005,1.6799999999999997
BIGEN,150.3,1051047,1.1440107671601731,157972364.10000002,0.0,0.0,1.0,50.2,50.2,50.2,50.2,57.599999999999994,51.68,49.040000000000006,2.6399999999999935
EUREN,3.92,25985026,1.0309278350515474,101861301.92,0.0,0.0,1.0,50.2,50.2,50.2,50.2,57.199999999999996,51.6,51.6,0.0
ECZYT,325.25,337889,1.0093167701863355,109898397.25,0.0,0.0,1.0,50.2,50.2,50.2,50.2,56.8,51.52,50.720000000000006,0.7999999999999972
AKSA,11.25,15169021,0.896860986547082,170651486.25,0.0,0.0,1.0,50.2,50.2,50.2,50.2,56.39999999999999,51.44,44.96,6.479999999999997
GSRAY,1.13,541089339,0.8928571428571237,611430953.0699999,0.0,0.0,1.0,50.2,50.2,50.2,50.2,56.00000000000001,51.36000000000001,48.28,3.0800000000000054
BINHO,10.95,33695314,0.8287292817679546,368963688.29999995,0.0,0.0,1.0,50.2,50.2,50.2,50.2,55.60000000000001,51.28,44.16,7.1200000000000045
GEREL,39.22,5540056,0.8226221079691525,217280996.32,0.0,0.0,1.0,50.2,50.2,50.2,50.2,55.2,51.2,41.28,9.920000000000002
SSAAT,38.56,8129488,0.784108729743869,313473057.28000003,0.0,0.0,1.0,50.2,50.2,50.2,50.2,54.800000000000004,51.120000000000005,52.16,-1.039999999999992
PETKM,20.74,74869292,0.7774538386783292,1552789116.08,0.0,0.0,1.0,50.2,50.2,50.2,50.2,54.400000000000006,51.040000000000006,47.52,3.520000000000003
