ticker,close,volume,value_traded,change_%,hhi_score,foreign_ratio,quant_score,tarih,high,low,prev_quant_score,score_diff
EKIM,18.84,12297772.0,231690024.48,-3.2357473035439086,0.0,0.0,42.96,2026-08-25,,,,
CCOLA,77.25,8422809.0,650661995.25,-3.256105197244827,0.0,0.0,42.88,2026-08-25,,,,
HUNER,3.85,54953014.0,211569103.9,-3.2663316582914548,0.0,0.0,42.8,2026-08-25,,,,
FRMPL,34.02,4332903.0,147405360.06,-3.3522727272727257,0.0,0.0,42.72,2026-08-25,,,,
ALFAS,41.28,2919894.0,120533224.32,-3.3707865168539275,0.0,0.0,42.64,2026-08-25,,,,
ORGE,23.08,5873115.0,135551494.2,-3.430962343096236,0.0,0.0,42.56,2026-08-25,,,,
TUREX,6.68,20614075.0,137702021.0,-3.4682080924855523,0.0,0.0,42.48,2026-08-25,,,,
AGROT,2.22,157673607.0,350035407.54,-3.4782608695652013,0.0,0.0,42.400000000000006,2026-08-25,,,,
BRYAT,1728.0,80181.0,138552768.0,-3.571428571428571,0.0,0.0,42.32,2026-08-25,,,,
LXGYO,10.95,9818406.0,107511545.7,-3.6091549295774654,0.0,0.0,42.24,2026-08-25,,,,
SDTTR,260.5,1230828.0,320630694.0,-3.8745387453874542,0.0,0.0,42.16,2026-08-25,,,,
GOLDA,12.91,37772965.0,487648978.15,-3.943452380952377,0.0,0.0,42.08,2026-08-25,,,,
AYGAZ,319.25,1441559.0,460217710.75,-4.05709992486852,0.0,0.0,42.0,2026-08-25,,,,
BRSAN,721.5,4242529.0,3060984673.5,-4.183266932270916,0.0,0.0,41.92,2026-08-25,,,,
OZATD,4272.5,109092.0,466095570.0,-4.257703081232493,0.0,0.0,41.84,2026-08-25,,,,
ENDAE,19.7,12335318.0,243005764.6,-4.368932038834961,0.0,0.0,41.760000000000005,2026-08-25,,,,
TRENJ,104.6,1969644.0,206024762.4,-4.474885844748864,0.0,0.0,41.68000000000001,2026-08-25,,,,
OFSYM,64.4,4213371.0,271341092.40000004,-4.521868050407705,0.0,0.0,41.6,2026-08-25,,,,
CITAS,113.1,53433545.0,6043333939.5,-4.55696202531646,0.0,0.0,41.52,2026-08-25,,,,
METEN,23.04,59104827.0,1361775214.08,-4.793388429752067,0.0,0.0,41.44,2026-08-25,,,,
MAGEN,33.12,11930176.0,395127429.12,-4.93685419058555,0.0,0.0,41.36,2026-08-25,,,,
BLUME,41.44,5666752.0,234830202.88,-4.954128440366981,0.0,0.0,41.28,2026-08-25,,,,
TRALT,53.6,126708501.0,6791575653.6,-4.964539007092194,0.0,0.0,41.2,2026-08-25,,,,
KLYPV,64.1,4191827.0,268696110.7,-5.037037037037045,0.0,0.0,41.120000000000005,2026-08-25,,,,
PETKM,19.75,69089794.0,1364523431.5,-5.048076923076927,0.0,0.0,41.040000000000006,2026-08-25,,,,
FORTE,122.0,3470786.0,423435892.0,-5.058365758754864,0.0,0.0,40.96,2026-08-25,,,,
TRMET,139.2,6253247.0,870451982.4,-5.3061224489796,0.0,0.0,40.88,2026-08-25,,,,
TUPRS,375.25,43366640.0,16273331660.0,-6.30461922596754,0.0,0.0,40.8,2026-08-25,,,,
VEYAS,139.1,14456139.0,2010848934.9,-6.894243641231601,0.0,0.0,40.72,2026-08-25,,,,
BJKAS,2.55,580480656.0,1480225672.8,-6.93430656934308,0.0,0.0,40.64,2026-08-25,,,,
MEGMT,47.46,13488724.0,640174841.04,-8.993288590604024,0.0,0.0,40.56,2026-08-25,,,,
HEDEF,114.9,3561311.0,409194633.9,-9.952978056426325,0.0,0.0,40.48,2026-08-25,,,,
NETAS,96.6,3887210.0,375504486.0,-9.972041006523767,0.0,0.0,40.400000000000006,2026-08-25,,,,
LIDER,33.58,37641611.0,1264005297.38,-9.973190348525469,0.0,0.0,40.32,2026-08-25,,,,
TMPOL,508.5,1387645.0,705617482.5,-10.0,0.0,0.0,40.24,2026-08-25,,,,
TKNKA,137.2,2459187.0,337400456.4,9.935897435897429,0.0,0.0,49.30110150684239,2026-08-26,137.2,137.2,0.0,49.30110150684239
BRLSM,22.2,30207376.0,670603747.1999999,5.815061963775018,0.0,0.0,25.851722818728426,2026-08-26,23.06,21.06,0.0,25.851722818728426
ATATP,344.5,3949054.0,1360449103.0,2.8358208955223883,0.0,0.0,25.47781268788561,2026-08-26,368.5,331.75,0.0,25.47781268788561
VAKBN,32.68,64798988.0,2117630927.84,3.746031746031745,0.0,0.0,24.41780147935277,2026-08-26,33.22,32.0,0.0,24.41780147935277
ENJSA,115.4,5646903.0,651652606.2,6.753006475485672,0.0,0.0,23.229068689418508,2026-08-26,115.9,110.3,0.0,23.229068689418508
ISCTR,13.2,816138594.0,10773029440.8,5.769230769230759,0.0,0.0,19.57184085060974,2026-08-26,13.39,12.53,0.0,19.57184085060974
TSGYO,6.19,11625785.0,71963609.15,8.027923211169282,0.0,0.0,17.61364968193829,2026-08-26,6.3,5.74,0.0,17.61364968193829
BURCE,38.9,4018413.0,156316265.7,6.633771929824567,0.0,0.0,17.427805794620756,2026-08-26,40.1,38.0,0.0,17.427805794620756
ENSRI,5.59,14760511.0,82511256.49,9.82318271119843,0.0,0.0,17.329180280784158,2026-08-26,5.59,5.1,0.0,17.329180280784158
BRKVY,84.85,643760.0,54623036.0,5.0773993808049465,0.0,0.0,17.220337402562055,2026-08-26,86.75,81.1,0.0,17.220337402562055
MAKTK,10.65,8409375.0,89559843.75,4.926108374384236,0.0,0.0,17.200169929259975,2026-08-26,11.01,10.22,0.0,17.200169929259975
METRO,9.0,6818331.0,61364979.0,3.8062283737024227,0.0,0.0,17.15236306773041,2026-08-26,9.06,8.6,0.0,17.15236306773041
AYCES,454.0,118173.0,53650542.0,4.128440366972478,0.0,0.0,17.0938387689932,2026-08-26,464.5,436.5,0.0,17.0938387689932
PNLSN,44.92,1727823.0,77613809.16,3.5023041474654453,0.0,0.0,17.010373229394958,2026-08-26,46.38,44.02,0.0,17.010373229394958
ISFIN,20.16,2462877.0,49651600.32,2.2312373225152196,0.0,0.0,16.90042272522107,2026-08-26,20.18,19.73,0.0,16.90042272522107
SMRVA,11.68,11635245.0,135899661.6,2.3663453111305834,0.0,0.0,16.85894704717305,2026-08-26,11.98,11.41,0.0,16.85894704717305
ANHYT,106.3,442087.0,46993848.1,1.7224880382775092,0.0,0.0,16.773119246359673,2026-08-26,107.2,104.6,0.0,16.773119246359673
